TRANSACTION_ID|TRANSACTION_DATE|ACCOUNT_ID|CUSTOMER_ID|BRANCH_ID|PRODUCT_ID|TRANSACTION_TYPE|CHANNEL|TRANSACTION_AMOUNT|TRANSACTION_CURRENCY|BASE_CURRENCY_AMOUNT|IS_INTERNATIONAL|IS_FLAGGED|MERCHANT_NAME|ETL_BATCH_ID
9000000001|2024-01-13|ACCT-NO-100001|1001|101|1|DEBIT|BRANCH|216901.89|EUR|2494371.74|1|1|MERCHANT-01|20240000
9000000002|2024-02-27|ACCT-NO-100001|1001|101|1|CREDIT|ATM|8883.25|NOK|8883.25|0|0|MERCHANT-02|20240001
9000000003|2024-03-14|ACCT-NO-100001|1001|101|1|TRANSFER|ONLINE|4508.03|NOK|4508.03|0|0|MERCHANT-03|20240002
9000000004|2024-04-01|ACCT-NO-100001|1001|101|1|FEE|MOBILE|132.81|NOK|132.81|0|0|MERCHANT-04|20240003
9000000005|2024-05-15|ACCT-NO-100001|1001|101|1|INTEREST|POS|4757.58|NOK|4757.58|0|0|MERCHANT-05|20240004
9000000006|2024-06-01|ACCT-NO-100001|1001|101|1|DEBIT|BRANCH|382.36|NOK|382.36|0|0|MERCHANT-06|20240005
9000000007|2024-07-15|ACCT-NO-100001|1001|101|1|CREDIT|ATM|5007.14|NOK|5007.14|0|0|MERCHANT-07|20240006
9000000008|2024-08-02|ACCT-NO-100001|1001|101|1|TRANSFER|ONLINE|27586.32|EUR|317242.68|1|0|MERCHANT-08|20240007
9000000009|2024-09-16|ACCT-NO-100001|1001|101|1|FEE|MOBILE|5256.7|NOK|5256.7|0|0|MERCHANT-09|20240008
9000000010|2024-10-03|ACCT-NO-100001|1001|101|1|INTEREST|POS|881.48|NOK|881.48|0|0|MERCHANT-10|20240009
9000000011|2024-11-17|ACCT-NO-100001|1001|101|1|DEBIT|BRANCH|5506.26|NOK|5506.26|0|0|MERCHANT-11|20240010
9000000012|2024-12-04|ACCT-NO-100001|1001|101|1|CREDIT|ATM|130028.8|NOK|130028.8|0|0|MERCHANT-12|20240011
9000000013|2025-01-18|ACCT-NO-100001|1001|101|1|TRANSFER|ONLINE|5755.82|NOK|5755.82|0|0|MERCHANT-13|20240012
9000000014|2025-02-04|ACCT-NO-100001|1001|101|1|FEE|MOBILE|1380.59|NOK|1380.59|0|1|MERCHANT-14|20240013
9000000015|2025-03-18|ACCT-NO-100001|1001|101|1|INTEREST|POS|51468.33|EUR|591885.8|1|0|MERCHANT-15|20240014
